STATE,CODE,CAPITAL,POPULATION,FLOWER,URL
Alabama,AL,Montgomery,"196,010",Camellia,https://en.wikipedia.org/wiki/File:Camellia_japonica_flower_2.jpg
Alaska,AK,Juneau,"31,534",Forget-me-not,https://en.wikipedia.org/wiki/File:Forget-me-not_close_600.jpg
Arizona,AZ,Phoenix,"1,651,344",Saguaro Cactus Blossom,https://en.wikipedia.org/wiki/File:Carnegiea_gigantea_(Saguaro_cactus)_blossoms.jpg
Arkansas,AR,Little Rock,"201,029",Apple Blossom,https://en.wikipedia.org/wiki/File:Appletree_bloom_l.jpg
California,CA,Sacramento,"528,306",California Poppy,https://en.wikipedia.org/wiki/File:California_poppy.jpg
Colorado,CO,Denver,"699,288",Rocky Mountain Columbine,https://en.wikipedia.org/wiki/File:Aquilegia_caerulea.jpg
Connecticut,CT,Hartford,"119,817",Mountain Laurel,https://en.wikipedia.org/wiki/File:Kalmia_latifolia2.jpg
Delaware,DE,Dover,"37,892",Peach Blossom,https://en.wikipedia.org/wiki/File:Peach_flowers.jpg
Florida,FL,Tallahassee,"198,631",Orange Blossom,https://en.wikipedia.org/wiki/File:OrangeBloss_wb.jpg
Georgia,GA,Atlanta,"490,270",Cherokee Rose,https://en.wikipedia.org/wiki/File:Cherokee_rose.jpg
Hawaii,HI,Honolulu,"337,088",Hibiscus,https://en.wikipedia.org/wiki/File:Maohauhele.jpg
Idaho,ID,Boise,"240,713",Syringa,https://en.wikipedia.org/wiki/File:Lewis%27s_Mock-orange_NFUW_-_Umatilla_NF_Oregon.jpg
Illinois,IL,Springfield,"111,711",Violet,https://en.wikipedia.org/wiki/File:Viola_sororia.jpg
Indiana,IN,Indianapolis,"871,449",Peony,https://en.wikipedia.org/wiki/File:Paeonia_19.jpg
Iowa,IA,Des Moines,"208,734",Wild Rose,https://en.wikipedia.org/wiki/File:Rosa_arkansana.jpg
Kansas,KS,Topeka,"125,353",Sunflower,https://en.wikipedia.org/wiki/File:A_sunflower.jpg
Kentucky,KY,Frankfort,"28,523",Goldenrod,https://en.wikipedia.org/wiki/File:Solidago_virgaurea_minuta0.jpg
Louisiana,LA,Baton Rouge,"217,665",Magnolia,https://en.wikipedia.org/wiki/File:Magnolia_flower_Duke_campus.jpg
Maine,ME,Augusta,"19,058",White Pine,https://en.wikipedia.org/wiki/File:Pinus_strobus_cones.JPG
Maryland,MD,Annapolis,"40,397",Black-eyed Susan,https://en.wikipedia.org/wiki/File:Rudbeckia_hirta_Indian_Summer.JPG
Massachusett,MA,Boston,"617,459",Mayflower,https://en.wikipedia.org/wiki/File:Trailing_arbutus.jpg
Michigan,MI,Lansing,"112,460",Apple Blossom,https://en.wikipedia.org/wiki/File:Appletree_bloom_l.jpg
Minnesota,MN,St. Paul,"299,830",Pink and White Lady's Slipper,https://en.wikipedia.org/wiki/File:Cypripedium_reginae_Orchi_004.jpg
Mississippi,MS,Jackson,"143,776",Magnolia,https://en.wikipedia.org/wiki/File:Magnolia_flower_Duke_campus.jpg
Missouri,MO,Jefferson City,"42,535",Hawthorn,https://en.wikipedia.org/wiki/File:(MHNT)_Crataegus_monogyna_-_flowers_and_buds.jpg
Montana,MT,Helena,"34,690",Bitterroot,https://en.wikipedia.org/wiki/File:Lewisia_rediviva_4.jpg
Nebraska,NE,Lincoln,"295,222",Goldenrod,https://en.wikipedia.org/wiki/File:Solidago_virgaurea_minuta0.jpg
Nevada,NV,Carson City,"59,630",Sagebrush,https://en.wikipedia.org/wiki/File:Sagebrush.jpg
New Hampshi,NH,Concord,"44,606",Purple Lilac,https://en.wikipedia.org/wiki/File:Lilac_(2).jpg
New Jersey,NJ,Trenton,"90,048",Purple Violet,https://en.wikipedia.org/wiki/File:Viola_sororia.jpg
New Mexico,NM,Santa Fe,"89,220",Yucca,https://en.wikipedia.org/wiki/File:Yucca_filamentosa.jpg
New York,NY,Albany,"97,593",Rose,https://en.wikipedia.org/wiki/File:Rosa_sp.163.jpg
North Carolin,NC,Raleigh,"472,540",Dogwood,https://en.wikipedia.org/wiki/File:Flowering_Dogwood_Cornus_florida_Yellow_Flowers_3008px.JPG
North Dakota,ND,Bismarck,"75,073",Wild Prairie Rose,https://en.wikipedia.org/wiki/File:Rosa_arkansana.jpg
Ohio,OH,Columbus,"907,865",Scarlet Carnation,https://en.wikipedia.org/wiki/File:Red_Carnation_NGM_XXXI_p507.jpg
Oklahoma,OK,Oklahoma City,"697,763",Oklahoma Rose,"https://en.wikipedia.org/wiki/File:Rose,_Oklahoma_-_Flickr_-_nekonomania.jpg"
Oregon,OR,Salem,"181,620",Oregon Grape,https://en.wikipedia.org/wiki/File:(MHNT)_Berberis_aquifolium_inflorecences_and_buds.jpg
Pennsylvania,PA,Harrisburg,"50,267",Mountain Laurel,https://en.wikipedia.org/wiki/File:Kalmia_latifolia2.jpg
Rhode Island,RI,Providence,"188,877",Violet,https://en.wikipedia.org/wiki/File:Viola_sororia.jpg
South Carolin,SC,Columbia,"137,996",Yellow Jessamine,https://en.wikipedia.org/wiki/File:Gelsemium_sempervirensCDP140CA.jpg
South Dakota,SD,Pierre,"13,954",Pasque Flower,https://en.wikipedia.org/wiki/File:Pulsatilla_vulgaris-700px.jpg
Tennessee,TN,Nashville,"658,525",Iris,https://en.wikipedia.org/wiki/File:Iris_%27Gene_Wild%27_2007-05-13_383.jpg
Texas,TX,Austin,"966,292",Bluebonnet,https://en.wikipedia.org/wiki/File:Texas_Bluebonnet_(Lupinus_texensis).jpg
Utah,UT,Salt Lake City,"202,272",Sego Lily,https://en.wikipedia.org/wiki/File:Sego_lily_cm.jpg
Vermont,VT,Montpelier,"7,988",Red Clover,https://en.wikipedia.org/wiki/File:Red_clover_closeup.jpg
Virginia,VA,Richmond,"226,472",American Dogwood,https://en.wikipedia.org/wiki/File:Benthamidia_florida2.jpg
Washington,WA,Olympia,"56,510",Western Rhododendron,https://en.wikipedia.org/wiki/File:Rhododendron_macrophyllum.JPG
West Virginia,WV,Charleston,"46,692",Rhododendron,https://en.wikipedia.org/wiki/File:Rhododendron-by-eiffel-public-domain-20040617.jpg
Wisconsin,WI,Madison,"269,897",Wood Violet,https://en.wikipedia.org/wiki/File:Viola_sororia.jpg
Wyoming,WY,Cheyenne,"64,831",Indian Paintbrush,https://en.wikipedia.org/wiki/File:Indian_Paintbrush_in_Grand_Teton_NP-NPS.jpg
